column,count_nonnull,count_missing,mean,median,std,min,25%,75%,max,unique_count,zero_count,num_positive
PubMed_Count,457892,0,55.039238510391094,0.0,1668.2816658075587,0.0,0.0,0.0,352151.0,2960,368943,88949
Patent_Count,457892,0,1227.455179387279,1.0,26771.84500709945,0.0,0.0,42.0,12897636.0,16043,221438,236454
